symbol,name
CREDITACC,CreditAccess Grameen Ltd.
CRISIL,CRISIL Ltd.
CROMPTON,Crompton Greaves Consumer Electricals Ltd.
CUB,City Union Bank Ltd.
CUMMINSIND,Cummins India Ltd.
CYIENT,Cyient Ltd.
DABUR,Dabur India Ltd.
DBCORP,D.B.Corp Ltd.
DBL,Dilip Buildcon Ltd.
DCAL,Dishman Carbogen Amcis Ltd.
DCBBANK,DCB Bank Ltd.
DCMSHRIRAM,DCM Shriram Ltd.
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR,Deepak Nitrite Ltd.
DELTACORP,Delta Corp Ltd.
DHFL,Dewan Housing Finance Corporation Ltd.
DISHTV,Dish TV India Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DIXON,Dixon Technologies (India) Ltd.
DLF,DLF Ltd.
DMART,Avenue Supermarts Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
ECLERX,eClerx Services Ltd.
EDELWEISS,Edelweiss Financial Services Ltd.
EICHERMOT,Eicher Motors Ltd.
EIDPARRY,E.I.D. Parry (India) Ltd.
EIHOTEL,EIH Ltd.
ELGIEQUIP,Elgi Equipments Ltd.
EMAMILTD,Emami Ltd.
ENDURANCE,Endurance Technologies Ltd.
ENGINERSIN,Engineers India Ltd.
EQUITAS,Equitas Holdings Ltd.
ERIS,Eris Lifesciences Ltd.
ESCORTS,Escorts Ltd.
ESSELPACK,Essel Propack Ltd.
EXIDEIND,Exide Industries Ltd.
FCONSUMER,Future Consumer Ltd.
FDC,FDC Ltd.
FEDERALBNK,Federal Bank Ltd.
FINCABLES,Finolex Cables Ltd.
FINEORG,Fine Organic Industries Ltd.
FINPIPE,Finolex Industries Ltd.
FLFL,Future Lifestyle Fashions Ltd.
FORTIS,Fortis Healthcare Ltd.
FRETAIL,Future Retail Ltd.
FSL,Firstsource Solutions Ltd.
GAIL,GAIL (India) Ltd.
GALAXYSURF,Galaxy Surfactants Ltd.
GAYAPROJ,Gayatri Projects Ltd.
GDL,Gateway Distriparks Ltd.
GEPIL,GE Power India Ltd.
GESHIP,Great Eastern Shipping Co. Ltd.
GET&D,GE T&D India Ltd.
GHCL,GHCL Ltd.
GICRE,General Insurance Corporation of India
GILLETTE,Gillette India Ltd.
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.
GLENMARK,Glenmark Pharmaceuticals Ltd.
GMDCLTD,Gujarat Mineral Development Corporation Ltd.
GMRINFRA,GMR Infrastructure Ltd.
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.
GODFRYPHLP,Godfrey Phillips India Ltd.
GODREJAGRO,Godrej Agrovet Ltd.
GODREJCP,Godrej Consumer Products Ltd.
GODREJIND,Godrej Industries Ltd.
GODREJPROP,Godrej Properties Ltd.
GPPL,Gujarat Pipavav Port Ltd.
GRANULES,Granules India Ltd.
GRAPHITE,Graphite India Ltd.
GRASIM,Grasim Industries Ltd.
GREAVESCOT,Greaves Cotton Ltd.
GRINDWELL,Grindwell Norton Ltd.
GRUH,Gruh Finance Ltd.
GSFC,Gujarat State Fertilizers & Chemicals Ltd.
GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.
GSPL,Gujarat State Petronet Ltd.
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.
GUJFLUORO,Gujarat Fluorochemicals Ltd.
GUJGASLTD,Gujarat Gas Ltd.
GULFOILLUB,Gulf Oil Lubricants India Ltd.
HAL,Hindustan Aeronautics Ltd.
HATHWAY,Hathway Cable & Datacom Ltd.
HATSUN,Hatsun Agro Product Ltd.
HAVELLS,Havells India Ltd.
HCLTECH,HCL Technologies Ltd.
HDFC,Housing Development Finance Corporation Ltd.
HDFCAMC,HDFC Asset Management Company Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
HEG,H.E.G. Ltd.
HEIDELBERG,HeidelbergCement India Ltd.
HERITGFOOD,Heritage Foods Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
HEXAWARE,Hexaware Technologies Ltd.
HFCL,Himachal Fut Com Ltd.
HIMATSEIDE,Himatsingka Seide Ltd.
HINDALCO,Hindalco Industries Ltd.
HINDCOPPER,Hindustan Copper Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
HINDZINC,Hindustan Zinc Ltd.
HONAUT,Honeywell Automation India Ltd.
HSCL,Himadri Speciality Chemical Ltd.
HUDCO,Housing & Urban Development Corporation Ltd.
IBREALEST,Indiabulls Real Estate Ltd.
IBULHSGFIN,Indiabulls Housing Finance Ltd.
IBULISL,Indiabulls Integrated Services Ltd.
IBVENTURES,Indiabulls Ventures Ltd.
ICICIBANK,ICICI Bank Ltd.
ICICIGI,ICICI Lombard General Insurance Company Ltd.
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.
ICRA,ICRA Ltd.
IDBI,IDBI Bank Ltd.
IDEA,Vodafone Idea Ltd.
IDFC,IDFC Ltd.
IDFCFIRSTB,IDFC First Bank Ltd.
IEX,Indian Energy Exchange Ltd.
IFBIND,IFB Industries Ltd.
IFCI,IFCI Ltd.
IGL,Indraprastha Gas Ltd.
INDHOTEL,Indian Hotels Co. Ltd.
INDIACEM,India Cements Ltd.
INDIANB,Indian Bank
INDIGO,InterGlobe Aviation Ltd.
INDOCO,Indoco Remedies Ltd.
INDOSTAR,IndoStar Capital Finance Ltd.
INDUSINDBK,IndusInd Bank Ltd.
INFIBEAM,Infibeam Avenues Ltd.
INFRATEL,Bharti Infratel Ltd.
INFY,Infosys Ltd.
INOXLEISUR,Inox Leisure Ltd.
INOXWIND,Inox Wind Ltd.
INTELLECT,Intellect Design Arena Ltd.
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation Ltd.
IPCALAB,Ipca Laboratories Ltd.
IRB,IRB Infrastructure Developers Ltd.
IRCON,IRCON International Ltd.
ISEC,ICICI Securities Ltd.
ITC,ITC Ltd.
ITDC,India Tourism Development Corporation Ltd.
ITDCEM,ITD Cementation India Ltd.
ITI,ITI Ltd.
J&KBANK,Jammu & Kashmir Bank Ltd.
JAGRAN,Jagran Prakashan Ltd.
JAICORPLTD,Jai Corp Ltd.
JAMNAAUTO,Jamna Auto Industries Ltd.
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.
JETAIRWAYS,Jet Airways (India) Ltd.
JINDALSAW,Jindal Saw Ltd.
JINDALSTEL,Jindal Steel & Power Ltd.
JISLJALEQS,Jain Irrigation Systems Ltd.
JKCEMENT,J.K. Cement Ltd.
JKLAKSHMI,JK Lakshmi Cement Ltd.
JKPAPER,JK Paper Ltd.
JKTYRE,JK Tyre & Industries Ltd.
JMFINANCIL,JM Financial Ltd.
JPASSOCIAT,Jaiprakash Associates Ltd.
JSL,Jindal Stainless Ltd.
JSLHISAR,Jindal Stainless (Hisar) Ltd.
JSWENERGY,JSW Energy Ltd.
JSWSTEEL,JSW Steel Ltd.
JUBILANT,Jubilant Life Sciences Ltd.
JUBLFOOD,Jubilant Foodworks Ltd.
JUSTDIAL,Justdial Ltd.
JYOTHYLAB,Jyothy Laboratories Ltd.
KAJARIACER,Kajaria Ceramics Ltd.
KALPATPOWR,Kalpataru Power Transmission Ltd.
KANSAINER,Kansai Nerolac Paints Ltd.
KARURVYSYA,Karur Vysya Bank Ltd.
KEC,Kec International Ltd.
KEI,KEI Industries Ltd.
KIOCL,KIOCL Ltd.
KIRLOSENG,Kirloskar Oil Eng Ltd.
KNRCON,KNR Constructions Ltd.
KOLTEPATIL,Kolte-Patil Developers Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
KPRMILL,K.P.R. Mill Ltd.
KRBL,KRBL Ltd.
KSCL,Kaveri Seed Company Ltd.
KTKBANK,Karnataka Bank Ltd.
L&TFH,L&T Finance Holdings Ltd.
LAKSHVILAS,Lakshmi Vilas Bank Ltd.
LALPATHLAB,Dr. Lal Path Labs Ltd.
LAURUSLABS,Laurus Labs Ltd.
LAXMIMACH,Lakshmi Machine Works Ltd.
LEMONTREE,Lemon Tree Hotels Ltd.
LICHSGFIN,LIC Housing Finance Ltd.
LINDEINDIA,Linde India Ltd.
LT,Larsen & Toubro Ltd.
LTI,Larsen & Toubro Infotech Ltd.
LTTS,L&T Technology Services Ltd.
LUPIN,Lupin Ltd.
LUXIND,Lux Industries Ltd.
M&M,Mahindra & Mahindra Ltd.
M&MFIN,Mahindra & Mahindra Financial Services Ltd.
MAGMA,Magma Fincorp Ltd.
MAHABANK,Bank of Maharashtra.
MAHINDCIE,Mahindra CIE Automotive Ltd.
MAHLOG,Mahindra Logistics Ltd.
MAHSCOOTER,Maharashtra Scooters Ltd.
MAHSEAMLES,Maharashtra Seamless Ltd.
MANAPPURAM,Manappuram Finance Ltd.
MARICO,Marico Ltd.
MARUTI,Maruti Suzuki India Ltd.
MASFIN,MAS Financial Services Ltd.
MAXINDIA,Max India Ltd.
MCDOWELL-N,United Spirits Ltd.
MFSL,Max Financial Services Ltd.
MGL,Mahanagar Gas Ltd.
MHRIL,Mahindra Holidays & Resorts India Ltd.
MINDACORP,Minda Corporation Ltd.
MINDAIND,Minda Industries Ltd.
MINDTREE,MindTree Ltd.
MMTC,MMTC Ltd.
MOIL,MOIL Ltd.
MONSANTO,Monsanto India Ltd.
MOTHERSUMI,Motherson Sumi Systems Ltd.
MOTILALOFS,Motilal Oswal Financial Services Ltd.
MPHASIS,MphasiS Ltd.
MRF,MRF Ltd.
MRPL,Mangalore Refinery & Petrochemicals Ltd.
MUTHOOTFIN,Muthoot Finance Ltd.
NATCOPHARM,NATCO Pharma Ltd.
NATIONALUM,National Aluminium Co. Ltd.
NAUKRI,Info Edge (India) Ltd.
NAVINFLUOR,Navin Fluorine International Ltd.
NBCC,NBCC (India) Ltd.
NBVENTURES,Nava Bharat Ventures Ltd.
NCC,NCC Ltd.
NESCO,NESCO Ltd.
NETWORK18,Network18 Media & Investments Ltd.
NFL,National Fertilizers Ltd.
NH,Narayana Hrudayalaya Ltd.
NHPC,NHPC Ltd.
NIACL,The New India Assurance Company Ltd.
NIITTECH,NIIT Technologies Ltd.
NILKAMAL,Nilkamal Ltd.
NLCINDIA,NLC India Ltd.
NMDC,NMDC Ltd.
NTPC,NTPC Ltd.
OBEROIRLTY,Oberoi Realty Ltd.
OFSS,Oracle Financial Services Software Ltd.
OIL,Oil India Ltd.
OMAXE,Omaxe Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
ORIENTBANK,Oriental Bank of Commerce
ORIENTCEM,Orient Cement Ltd.
ORIENTELEC,Orient Electric Ltd.
PAGEIND,Page Industries Ltd.
PARAGMILK,Parag Milk Foods Ltd.
PCJEWELLER,PC Jeweller Ltd.
PEL,Piramal Enterprises Ltd.
PERSISTENT,Persistent Systems Ltd.
PETRONET,Petronet LNG Ltd.
PFC,Power Finance Corporation Ltd.
PFIZER,Pfizer Ltd.
PGHH,Procter & Gamble Hygiene & Health Care Ltd.
PGHL,Procter & Gamble Health Ltd.
PHILIPCARB,Phillips Carbon Black Ltd.
PHOENIXLTD,Phoenix Mills Ltd.
PIDILITIND,Pidilite Industries Ltd.
PIIND,PI Industries Ltd.
PNB,Punjab National Bank
PNBHOUSING,PNB Housing Finance Ltd.
PNCINFRA,PNC Infratech Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
PRAJIND,Praj Industries Ltd.
PRESTIGE,Prestige Estates Projects Ltd.
PRSMJOHNSN,Prism Johnson Ltd.
PTC,PTC India Ltd.
PVR,PVR Ltd.
QUESS,Quess Corp Ltd.
RADICO,Radico Khaitan Ltd
RAIN,Rain Industries Ltd
RAJESHEXPO,Rajesh Exports Ltd.
RALLIS,Rallis India Ltd.
RAMCOCEM,The Ramco Cements Ltd.
RAYMOND,Raymond Ltd.
RBLBANK,RBL Bank Ltd.
RCF,Rashtriya Chemicals & Fertilizers Ltd.
RCOM,Reliance Communications Ltd.
RECLTD,REC Ltd.
REDINGTON,Redington (India) Ltd.
RELAXO,Relaxo Footwears Ltd.
RELCAPITAL,Reliance Capital Ltd.
RELIANCE,Reliance Industries Ltd.
RELINFRA,Reliance Infrastructure Ltd.
RENUKA,Shree Renuka Sugars Ltd.
REPCOHOME,Repco Home Finance Ltd.
RHFL,Reliance Home Finance Ltd.
RITES,RITES Ltd.
RKFORGE,Ramkrishna Forgings Ltd.
RNAM,Reliance Nippon Life Asset Management Ltd.
RPOWER,Reliance Power Ltd.
RUPA,Rupa & Company Ltd.
SADBHAV,Sadbhav Engineering Ltd.
SAIL,Steel Authority of India Ltd.
SANOFI,Sanofi India Ltd.
SBILIFE,SBI Life Insurance Company Ltd.
SBIN,State Bank of India
SCHAEFFLER,Schaeffler India Ltd.
SCI,Shipping Corporation of India Ltd.
SFL,Sheela Foam Ltd.
SHANKARA,Shankara Building Products Ltd.
SHARDACROP,Sharda Cropchem Ltd.
SHILPAMED,Shilpa Medicare Ltd.
SHK,S H Kelkar and Company Ltd.
SHOPERSTOP,Shoppers Stop Ltd.
SHREECEM,Shree Cement Ltd.
SHRIRAMCIT,Shriram City Union Finance Ltd.
SIEMENS,Siemens Ltd.
SIS,Security and Intelligence Services (India) Ltd.
SJVN,SJVN Ltd.
SKFINDIA,SKF India Ltd.
SOBHA,Sobha Ltd.
SOLARINDS,Solar Industries India Ltd.
SONATSOFTW,Sonata Software Ltd.
SOUTHBANK,South Indian Bank Ltd.
SPARC,Sun Pharma Advanced Research Company Ltd.
SPTL,Sintex Plastics Technology Ltd.
SREINFRA,SREI Infrastructure Finance Ltd.
SRF,SRF Ltd.
SRTRANSFIN,Shriram Transport Finance Co. Ltd.
STAR,Strides Pharma Science Ltd.
STARCEMENT,Star Cement Ltd.
STRTECH,Sterlite Technologies Ltd.
SUDARSCHEM,Sudarshan Chemical Industries Ltd.
SUNCLAYLTD,Sundaram Clayton Ltd.
SUNDARMFIN,Sundaram Finance Ltd.
SUNDRMFAST,Sundram Fasteners Ltd.
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
SUNTECK,Sunteck Realty Ltd.
SUNTV,Sun TV Network Ltd.
SUPRAJIT,Suprajit Engineering Ltd.
SUPREMEIND,Supreme Industries Ltd.
SUVEN,Suven Life Sciences Ltd.
SUZLON,Suzlon Energy Ltd.
SWANENERGY,Swan Energy Ltd.
SYMPHONY,Symphony Ltd.
SYNDIBANK,Syndicate Bank
SYNGENE,Syngene International Ltd.
TAKE,Take Solutions Ltd.
TATACHEM,Tata Chemicals Ltd.
TATACOFFEE,Tata Coffee Ltd.
TATAELXSI,Tata Elxsi Ltd.
TATAGLOBAL,Tata Global Beverages Ltd.
TATAINVEST,Tata Investment Corporation Ltd.
TATAMOTORS,Tata Motors Ltd.
TATAMTRDVR,Tata Motors Ltd DVR
TATAPOWER,Tata Power Co. Ltd.
TATASTEEL,Tata Steel Ltd.
TCNSBRANDS,TCNS Clothing Co. Ltd.
TCS,Tata Consultancy Services Ltd.
TEAMLEASE,Teamlease Services Ltd.
TECHM,Tech Mahindra Ltd.
THERMAX,Thermax Ltd.
THOMASCOOK,Thomas Cook (India) Ltd.
THYROCARE,Thyrocare Technologies Ltd.
TIINDIA,Tube Investments of India Ltd.
TIMETECHNO,Time Technoplast Ltd.
TIMKEN,Timken India Ltd.
TITAN,Titan Company Ltd.
TNPL,Tamil Nadu Newsprint & Papers Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
TORNTPOWER,Torrent Power Ltd.
TRENT,Trent Ltd.
TRIDENT,Trident Ltd.
TRITURBINE,Triveni Turbine Ltd.
TTKPRESTIG,TTK Prestige Ltd.
TV18BRDCST,TV18 Broadcast Ltd.
TVSMOTOR,TVS Motor Company Ltd.
TVTODAY,TV Today Network Ltd.
UBL,United Breweries Ltd.
UCOBANK,UCO Bank
UFLEX,UFLEX Ltd.
UJJIVAN,Ujjivan Financial Services Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
UNIONBANK,Union Bank of India
UPL,UPL Ltd.
VAKRANGEE,Vakrangee Ltd.
VARROC,Varroc Engineering Ltd.
VBL,Varun Beverages Ltd.
VEDL,Vedanta Ltd.
VENKEYS,Venky's (India) Ltd.
VGUARD,V-Guard Industries Ltd.
VINATIORGA,Vinati Organics Ltd.
VIPIND,V.I.P. Industries Ltd.
VMART,V-Mart Retail Ltd.
VOLTAS,Voltas Ltd.
VRLLOG,VRL Logistics Ltd.
VSTIND,VST Industries Ltd.
VTL,Vardhman Textiles Ltd.
WABAG,Va Tech Wabag Ltd.
WABCOINDIA,WABCO India Ltd.
WELCORP,Welspun Corp Ltd.
WELSPUNIND,Welspun India Ltd.
WHIRLPOOL,Whirlpool of India Ltd.
WIPRO,Wipro Ltd.
WOCKPHARMA,Wockhardt Ltd.
YESBANK,Yes Bank Ltd.
ZEEL,Zee Entertainment Enterprises Ltd.
ZENSARTECH,Zensar Technolgies Ltd.
ZYDUSWELL,Zydus Wellness Ltd.
